surv_month,irrigation,species,size,score,
12,low,dip,4in,2.6,
13,low,dip,4in,2.2,
14,low,dip,4in,2,
15,low,dip,4in,1.8,
16,low,dip,4in,1.2,
17,low,dip,4in,1,
18,low,dip,4in,1.2,
19,low,dip,4in,1.2,
20,low,dip,4in,1.4,
21,low,dip,4in,1,
22,low,dip,4in,1.2,
23,low,dip,4in,1.2,
1,low,dip,1gal,4,
2,low,dip,1gal,4.5,
3,low,dip,1gal,4.5,
4,low,dip,1gal,4.75,
5,low,dip,1gal,4.25,
6,low,dip,1gal,3.75,
7,low,dip,1gal,4,
8,low,dip,1gal,3.75,
9,low,dip,1gal,4.5,
10,low,dip,1gal,4.75,
11,low,dip,1gal,5,
12,low,dip,1gal,4.75,
13,low,dip,1gal,4.5,
14,low,dip,1gal,4,
15,low,dip,1gal,3.75,
16,low,dip,1gal,3,
17,low,dip,1gal,2.25,
18,low,dip,1gal,2.5,
19,low,dip,1gal,3,
20,low,dip,1gal,3.75,
21,low,dip,1gal,3.25,
22,low,dip,1gal,2.75,
23,low,dip,1gal,2.5,
